KEY_CODE,人口総数,小地域,男,女,世帯総数
27145001005,1147,堺市南区赤坂台５丁,525,622,456
27145001006,1599,堺市南区赤坂台６丁,757,842,626
271450020,840,堺市南区泉田中,416,424,266
271450030,819,堺市南区稲葉,412,407,260
27145003001,132,堺市南区稲葉１丁,61,71,50
27145003002,318,堺市南区稲葉２丁,145,173,116
27145003003,369,堺市南区稲葉３丁,206,163,94
271450040,410,堺市南区岩室,215,195,145
271450050,822,堺市南区大庭寺,419,403,304
271450060,352,堺市南区大森,181,171,115
271450070,1253,堺市南区片蔵,625,628,383
271450080,1480,堺市南区釜室,747,733,436
271450090,7516,堺市南区鴨谷台,3456,4060,3077
27145009001,1967,堺市南区鴨谷台１丁,874,1093,774
27145009002,2336,堺市南区鴨谷台２丁,1066,1270,890
27145009003,3213,堺市南区鴨谷台３丁,1516,1697,1413
271450100,538,堺市南区小代,259,279,163
271450110,544,堺市南区逆瀬川,242,302,141
271450120,7116,堺市南区城山台,3360,3756,2684
27145012001,1603,堺市南区城山台１丁,761,842,588
27145012002,2848,堺市南区城山台２丁,1266,1582,1116
27145012003,2033,堺市南区城山台３丁,995,1038,813
27145012004,237,堺市南区城山台４丁,112,125,82
27145012005,395,堺市南区城山台５丁,226,169,85
271450130,8873,堺市南区新檜尾台,4112,4761,3473
27145013001,932,堺市南区新檜尾台１丁,431,501,365
27145013002,2429,堺市南区新檜尾台２丁,1130,1299,875
27145013003,2661,堺市南区新檜尾台３丁,1211,1450,1079
27145013004,2851,堺市南区新檜尾台４丁,1340,1511,1154
271450150,1302,堺市南区高尾,676,626,539
27145015001,406,堺市南区高尾１丁,197,209,145
27145015002,457,堺市南区高尾２丁,247,210,208
27145015003,439,堺市南区高尾３丁,232,207,186
271450160,8226,堺市南区高倉台,3808,4418,3644
27145016001,1628,堺市南区高倉台１丁,706,922,794
27145016002,3348,堺市南区高倉台２丁,1609,1739,1393
27145016003,1479,堺市南区高倉台３丁,655,824,717
27145016004,1771,堺市南区高倉台４丁,838,933,740
271450170,8244,堺市南区竹城台,3712,4532,4206
27145017001,3040,堺市南区竹城台１丁,1388,1652,1767
27145017002,2046,堺市南区竹城台２丁,947,1099,1044
27145017003,1599,堺市南区竹城台３丁,680,919,714
27145017004,1559,堺市南区竹城台４丁,697,862,681
271450180,6366,堺市南区茶山台,3028,3338,3071
27145018001,275,堺市南区茶山台１丁,116,159,125
27145018002,4748,堺市南区茶山台２丁,2279,2469,2345
27145018003,1343,堺市南区茶山台３丁,633,710,601
271450190,375,堺市南区栂,180,195,132
271450200,749,堺市南区土佐屋台,365,384,324
271450210,312,堺市南区富蔵,148,164,94
271450220,2508,堺市南区豊田,1089,1419,528
271450230,7509,堺市南区庭代台,3518,3991,3149
27145023001,2368,堺市南区庭代台１丁,1142,1226,980
27145023002,2115,堺市南区庭代台２丁,958,1157,962
27145023003,1493,堺市南区庭代台３丁,717,776,597
27145023004,1533,堺市南区庭代台４丁,701,832,610
271450240,741,堺市南区野々井,378,363,246
271450250,353,堺市南区畑,168,185,109
271450260,713,堺市南区鉢ケ峯寺,345,368,235
271450270,10849,堺市南区原山台,5065,5784,4866
27145027001,3660,堺市南区原山台１丁,1770,1890,1691
27145027002,857,堺市南区原山台２丁,379,478,345
27145027003,1164,堺市南区原山台３丁,509,655,647
27145027004,781,堺市南区原山台４丁,391,390,289
